Fecha;Compra;Venta
18/04/2022;191;195
13/04/2022;191;195
12/04/2022;191;195
11/04/2022;191;195
08/04/2022;192,5;196,5
07/04/2022;192;196
06/04/2022;192;196
05/04/2022;192;196
04/04/2022;195;199
01/04/2022;196;200
31/03/2022;196;200
30/03/2022;197;201
29/03/2022;196;200
28/03/2022;196;200
25/03/2022;198;202
23/03/2022;197;201
22/03/2022;197;201
21/03/2022;198;202
18/03/2022;198,5;202,5
17/03/2022;198;202
16/03/2022;198;202
15/03/2022;196;200
14/03/2022;196;200
11/03/2022;198;202
10/03/2022;199;203
09/03/2022;200,5;204,5
08/03/2022;198;202
07/03/2022;197;201
07/03/2022;197;201
07/03/2022;197;201
07/03/2022;197;201
04/03/2022;197;201
03/03/2022;200;204
02/03/2022;202;206
25/02/2022;207;211
24/02/2022;206,5;210,5
23/02/2022;206;210
22/02/2022;206;210
21/02/2022;207,5;211,5
18/02/2022;207;211
17/02/2022;210;214
16/02/2022;211;215
15/02/2022;211;215
14/02/2022;211;215
11/02/2022;210,5;215,5
10/02/2022;211,5;215,5
09/02/2022;213;217
08/02/2022;211;215
07/02/2022;210;214
04/02/2022;210;214
03/02/2022;212;216
02/02/2022;212,5;216,5
01/02/2022;210;214
31/01/2022;209;213
28/01/2022;208,5;212,5
27/01/2022;218,5;222,5
26/01/2022;217;221
25/01/2022;215,5;219,5
24/01/2022;215;219
21/01/2022;215;219
20/01/2022;210;214
19/01/2022;209;213
18/01/2022;207;211
17/01/2022;205;209
14/01/2022;205,5;209,5
13/01/2022;205,5;209,5
12/01/2022;204,5;208,5
11/01/2022;205;209
10/01/2022;202;206
07/01/2022;204;208
06/01/2022;204,5;208,5
05/01/2022;203,5;207,5
04/01/2022;202,5;206,5
03/01/2022;202;206
30/12/2021;204;208
29/12/2021;205;209
28/12/2021;202;206
27/12/2021;199,5;203,5
23/12/2021;200;204
22/12/2021;196,5;200,5
21/12/2021;195;199
20/12/2021;196;200
17/12/2021;196;200
16/12/2021;194,5;198,5
15/12/2021;194,5;198,5
14/12/2021;192,5;196,5
13/12/2021;191,5;195,5
10/12/2021;192,5;196,5
09/12/2021;192;196
07/12/2021;194;198
06/12/2021;195;199
03/12/2021;196,5;200,5
02/12/2021;196,5;200,5
01/12/2021;196,5;200,5
30/11/2021;197,5;201,5
29/11/2021;197;201
26/11/2021;197;201
25/11/2021;197;201
24/11/2021;196,5;200,5
23/11/2021;197;201
19/11/2021;197,5;201,5
18/11/2021;197;201
17/11/2021;197,5;201,5
16/11/2021;196,5;200,5
15/11/2021;195,5;199,5
12/11/2021;196;200
11/11/2021;202,5;206,5
10/11/2021;201;205
09/11/2021;195,5;199,5
08/11/2021;195;199
05/11/2021;195;199
