Time;EMBI
11/12/1998;720
14/12/1998;766
15/12/1998;734
16/12/1998;760
17/12/1998;758
18/12/1998;761
21/12/1998;720
22/12/1998;696
23/12/1998;682
24/12/1998;682
25/12/1998;684
28/12/1998;704
29/12/1998;709
30/12/1998;696
31/12/1998;700
01/01/1999;698
04/01/1999;672
05/01/1999;640
06/01/1999;647
07/01/1999;653
08/01/1999;655
11/01/1999;696
12/01/1999;771
13/01/1999;1026
14/01/1999;1097
15/01/1999;870
18/01/1999;841
19/01/1999;842
20/01/1999;830
21/01/1999;932
22/01/1999;937
01/02/1999;790
02/02/1999;769
03/02/1999;772
04/02/1999;777
05/02/1999;784
08/02/1999;810
09/02/1999;815
10/02/1999;795
11/02/1999;759
12/02/1999;742
15/02/1999;751
16/02/1999;724
17/02/1999;747
18/02/1999;753
19/02/1999;747
22/02/1999;762
23/02/1999;766
24/02/1999;767
25/02/1999;775
26/02/1999;786
01/03/1999;766
02/03/1999;799
03/03/1999;780
04/03/1999;748
05/03/1999;744
08/03/1999;742
09/03/1999;738
10/03/1999;716
11/03/1999;719
12/03/1999;709
15/03/1999;687
16/03/1999;700
17/03/1999;697
18/03/1999;689
19/03/1999;683
22/03/1999;682
23/03/1999;704
24/03/1999;698
25/03/1999;687
26/03/1999;689
29/03/1999;693
30/03/1999;696
31/03/1999;683
01/04/1999;661
02/04/1999;672
05/04/1999;660
06/04/1999;669
07/04/1999;643
08/04/1999;641
09/04/1999;641
12/04/1999;615
13/04/1999;611
14/04/1999;621
15/04/1999;623
16/04/1999;597
19/04/1999;612
20/04/1999;608
21/04/1999;597
22/04/1999;603
23/04/1999;622
26/04/1999;607
27/04/1999;615
28/04/1999;635
29/04/1999;621
30/04/1999;589
03/05/1999;585
04/05/1999;587
05/05/1999;591
06/05/1999;586
07/05/1999;576
10/05/1999;581
11/05/1999;610
12/05/1999;613
13/05/1999;623
14/05/1999;620
17/05/1999;657
18/05/1999;658
19/05/1999;718
20/05/1999;746
21/05/1999;775
24/05/1999;820
25/05/1999;806
26/05/1999;734
27/05/1999;783
28/05/1999;778
01/06/1999;790
02/06/1999;776
03/06/1999;770
04/06/1999;751
07/06/1999;738
08/06/1999;743
09/06/1999;750
10/06/1999;753
11/06/1999;768
14/06/1999;764
15/06/1999;754
16/06/1999;723
17/06/1999;729
18/06/1999;735
21/06/1999;726
22/06/1999;749
23/06/1999;732
24/06/1999;733
25/06/1999;745
28/06/1999;770
29/06/1999;761
30/06/1999;760
01/07/1999;777
02/07/1999;778
05/07/1999;779
06/07/1999;781
07/07/1999;789
08/07/1999;847
09/07/1999;890
12/07/1999;947
13/07/1999;923
14/07/1999;870
15/07/1999;890
16/07/1999;879
19/07/1999;868
20/07/1999;882
21/07/1999;888
22/07/1999;873
23/07/1999;885
26/07/1999;896
27/07/1999;887
28/07/1999;873
29/07/1999;856
30/07/1999;848
02/08/1999;874
03/08/1999;894
04/08/1999;907
05/08/1999;909
06/08/1999;905
09/08/1999;901
10/08/1999;900
11/08/1999;886
12/08/1999;853
13/08/1999;840
16/08/1999;833
17/08/1999;808
18/08/1999;837
19/08/1999;853
20/08/1999;852
23/08/1999;845
24/08/1999;845
25/08/1999;812
26/08/1999;811
27/08/1999;789
30/08/1999;786
31/08/1999;764
01/09/1999;763
02/09/1999;769
03/09/1999;765
06/09/1999;759
07/09/1999;739
08/09/1999;734
09/09/1999;706
10/09/1999;684
13/09/1999;689
14/09/1999;691
15/09/1999;704
16/09/1999;714
17/09/1999;701
20/09/1999;687
21/09/1999;705
22/09/1999;700
23/09/1999;694
24/09/1999;693
27/09/1999;680
28/09/1999;681
29/09/1999;669
30/09/1999;677
01/10/1999;668
04/10/1999;653
05/10/1999;658
06/10/1999;645
07/10/1999;642
08/10/1999;645
11/10/1999;644
12/10/1999;669
13/10/1999;677
14/10/1999;672
15/10/1999;696
18/10/1999;688
19/10/1999;671
20/10/1999;662
21/10/1999;639
22/10/1999;613
25/10/1999;620
26/10/1999;607
27/10/1999;621
28/10/1999;564
29/10/1999;635
01/11/1999;628
02/11/1999;629
03/11/1999;633
04/11/1999;618
05/11/1999;622
08/11/1999;615
09/11/1999;614
10/11/1999;617
11/11/1999;616
12/11/1999;617
15/11/1999;628
16/11/1999;620
17/11/1999;647
18/11/1999;642
19/11/1999;667
22/11/1999;652
23/11/1999;645
24/11/1999;641
25/11/1999;631
26/11/1999;641
29/11/1999;630
30/11/1999;657
01/12/1999;656
02/12/1999;646
03/12/1999;629
06/12/1999;633
07/12/1999;618
08/12/1999;620
09/12/1999;615
10/12/1999;607
13/12/1999;584
14/12/1999;580
15/12/1999;567
16/12/1999;570
17/12/1999;566
20/12/1999;570
21/12/1999;543
22/12/1999;547
23/12/1999;545
24/12/1999;546
27/12/1999;549
28/12/1999;544
29/12/1999;542
30/12/1999;544
31/12/1999;531
03/01/2000;509
04/01/2000;558
05/01/2000;540
06/01/2000;566
07/01/2000;558
10/01/2000;558
11/01/2000;560
12/01/2000;561
13/01/2000;551
14/01/2000;545
18/01/2000;540
19/01/2000;546
20/01/2000;548
21/01/2000;545
24/01/2000;558
25/01/2000;561
26/01/2000;567
27/01/2000;571
28/01/2000;592
31/01/2000;593
01/02/2000;583
02/02/2000;588
03/02/2000;595
04/02/2000;569
07/02/2000;547
08/02/2000;549
09/02/2000;549
10/02/2000;544
11/02/2000;551
14/02/2000;553
15/02/2000;548
16/02/2000;551
17/02/2000;550
18/02/2000;563
22/02/2000;581
23/02/2000;562
24/02/2000;568
25/02/2000;560
28/02/2000;548
29/02/2000;545
01/03/2000;550
02/03/2000;531
03/03/2000;524
06/03/2000;530
07/03/2000;530
08/03/2000;528
09/03/2000;527
10/03/2000;526
13/03/2000;537
14/03/2000;541
15/03/2000;548
16/03/2000;547
17/03/2000;542
20/03/2000;540
21/03/2000;539
22/03/2000;535
23/03/2000;536
24/03/2000;524
27/03/2000;522
28/03/2000;535
29/03/2000;545
30/03/2000;570
31/03/2000;570
03/04/2000;579
04/04/2000;595
05/04/2000;601
06/04/2000;592
07/04/2000;594
10/04/2000;607
11/04/2000;601
12/04/2000;599
13/04/2000;602
14/04/2000;618
17/04/2000;598
18/04/2000;578
19/04/2000;595
20/04/2000;596
21/04/2000;598
25/04/2000;567
26/04/2000;573
27/04/2000;570
28/04/2000;570
01/05/2000;560
02/05/2000;568
03/05/2000;578
04/05/2000;588
05/05/2000;600
08/05/2000;605
09/05/2000;629
10/05/2000;672
11/05/2000;695
12/05/2000;712
15/05/2000;718
16/05/2000;711
17/05/2000;712
18/05/2000;713
19/05/2000;757
22/05/2000;762
23/05/2000;770
24/05/2000;727
25/05/2000;731
26/05/2000;725
29/05/2000;719
30/05/2000;690
31/05/2000;703
01/06/2000;689
02/06/2000;646
05/06/2000;656
06/06/2000;679
07/06/2000;672
08/06/2000;667
09/06/2000;662
12/06/2000;668
13/06/2000;651
14/06/2000;645
15/06/2000;657
16/06/2000;663
19/06/2000;659
20/06/2000;661
21/06/2000;652
22/06/2000;680
23/06/2000;685
26/06/2000;691
27/06/2000;686
28/06/2000;679
29/06/2000;688
30/06/2000;687
03/07/2000;670
04/07/2000;672
05/07/2000;658
06/07/2000;647
07/07/2000;652
10/07/2000;651
11/07/2000;652
12/07/2000;636
13/07/2000;632
14/07/2000;621
17/07/2000;620
18/07/2000;630
19/07/2000;637
20/07/2000;644
21/07/2000;642
24/07/2000;639
25/07/2000;639
26/07/2000;644
27/07/2000;652
28/07/2000;654
31/07/2000;650
01/08/2000;665
02/08/2000;669
03/08/2000;665
04/08/2000;662
07/08/2000;664
08/08/2000;674
09/08/2000;655
10/08/2000;668
11/08/2000;658
14/08/2000;660
15/08/2000;686
16/08/2000;684
17/08/2000;696
18/08/2000;717
21/08/2000;726
22/08/2000;710
23/08/2000;716
24/08/2000;713
25/08/2000;701
28/08/2000;701
29/08/2000;701
30/08/2000;691
31/08/2000;686
01/09/2000;669
05/09/2000;674
06/09/2000;654
07/09/2000;664
08/09/2000;667
11/09/2000;673
12/09/2000;684
13/09/2000;682
14/09/2000;674
15/09/2000;677
18/09/2000;690
19/09/2000;696
20/09/2000;694
21/09/2000;702
22/09/2000;682
25/09/2000;686
26/09/2000;690
27/09/2000;681
28/09/2000;668
29/09/2000;673
02/10/2000;675
03/10/2000;663
04/10/2000;655
05/10/2000;658
06/10/2000;685
09/10/2000;686
10/10/2000;692
11/10/2000;695
12/10/2000;719
13/10/2000;733
16/10/2000;736
17/10/2000;774
18/10/2000;787
19/10/2000;776
20/10/2000;820
23/10/2000;828
24/10/2000;850
25/10/2000;894
26/10/2000;846
27/10/2000;832
30/10/2000;833
31/10/2000;816
01/11/2000;826
02/11/2000;839
03/11/2000;886
06/11/2000;910
07/11/2000;915
08/11/2000;992
09/11/2000;943
10/11/2000;868
13/11/2000;847
14/11/2000;826
15/11/2000;803
16/11/2000;834
17/11/2000;841
20/11/2000;813
21/11/2000;823
22/11/2000;845
23/11/2000;863
24/11/2000;840
27/11/2000;852
28/11/2000;865
29/11/2000;848
30/11/2000;855
01/12/2000;848
04/12/2000;845
05/12/2000;841
06/12/2000;833
07/12/2000;822
08/12/2000;812
11/12/2000;794
12/12/2000;810
13/12/2000;824
14/12/2000;830
15/12/2000;813
18/12/2000;805
19/12/2000;777
20/12/2000;790
21/12/2000;791
22/12/2000;779
26/12/2000;772
27/12/2000;769
28/12/2000;765
29/12/2000;766
02/01/2001;792
03/01/2001;728
04/01/2001;727
05/01/2001;740
08/01/2001;737
09/01/2001;720
10/01/2001;712
11/01/2001;706
12/01/2001;695
15/01/2001;696
16/01/2001;701
17/01/2001;691
18/01/2001;696
19/01/2001;700
22/01/2001;691
23/01/2001;678
24/01/2001;676
25/01/2001;683
26/01/2001;672
29/01/2001;654
30/01/2001;664
31/01/2001;670
01/02/2001;660
02/02/2001;658
05/02/2001;665
06/02/2001;675
07/02/2001;678
08/02/2001;682
09/02/2001;683
12/02/2001;690
13/02/2001;684
14/02/2001;676
15/02/2001;676
16/02/2001;698
19/02/2001;698
20/02/2001;720
21/02/2001;739
22/02/2001;732
23/02/2001;741
26/02/2001;759
27/02/2001;796
28/02/2001;793
01/03/2001;789
02/03/2001;767
05/03/2001;725
06/03/2001;725
07/03/2001;733
08/03/2001;761
09/03/2001;736
12/03/2001;769
13/03/2001;777
14/03/2001;798
15/03/2001;837
16/03/2001;850
19/03/2001;898
20/03/2001;886
21/03/2001;898
22/03/2001;964
23/03/2001;984
26/03/2001;928
27/03/2001;899
28/03/2001;898
29/03/2001;918
30/03/2001;945
02/04/2001;944
03/04/2001;946
04/04/2001;939
05/04/2001;916
06/04/2001;897
09/04/2001;862
10/04/2001;831
11/04/2001;852
12/04/2001;857
16/04/2001;899
17/04/2001;889
18/04/2001;896
19/04/2001;937
20/04/2001;1046
23/04/2001;1284
24/04/2001;1195
25/04/2001;1147
26/04/2001;1076
27/04/2001;1000
30/04/2001;1042
01/05/2001;1070
02/05/2001;1091
03/05/2001;1057
04/05/2001;1031
07/05/2001;975
08/05/2001;990
09/05/2001;1008
10/05/2001;989
11/05/2001;1048
14/05/2001;1093
15/05/2001;1056
16/05/2001;1007
17/05/2001;991
18/05/2001;958
21/05/2001;930
22/05/2001;924
23/05/2001;933
24/05/2001;921
25/05/2001;921
28/05/2001;921
29/05/2001;925
30/05/2001;969
31/05/2001;981
01/06/2001;1019
04/06/2001;955
05/06/2001;913
06/06/2001;911
07/06/2001;889
08/06/2001;879
11/06/2001;883
12/06/2001;910
13/06/2001;922
14/06/2001;937
15/06/2001;927
18/06/2001;1000
19/06/2001;986
20/06/2001;975
21/06/2001;971
22/06/2001;990
25/06/2001;974
26/06/2001;982
27/06/2001;999
28/06/2001;1009
29/06/2001;1025
02/07/2001;1062
03/07/2001;1079
04/07/2001;1094
05/07/2001;1165
06/07/2001;1132
09/07/2001;1158
10/07/2001;1217
11/07/2001;1290
12/07/2001;1519
13/07/2001;1616
16/07/2001;1629
17/07/2001;1439
18/07/2001;1537
19/07/2001;1593
20/07/2001;1488
23/07/2001;1377
24/07/2001;1415
25/07/2001;1390
26/07/2001;1510
27/07/2001;1612
30/07/2001;1571
31/07/2001;1604
01/08/2001;1688
02/08/2001;1601
03/08/2001;1557
06/08/2001;1610
07/08/2001;1572
08/08/2001;1490
09/08/2001;1466
10/08/2001;1392
13/08/2001;1424
14/08/2001;1501
15/08/2001;1453
16/08/2001;1393
17/08/2001;1502
20/08/2001;1555
21/08/2001;1651
22/08/2001;1450
23/08/2001;1427
24/08/2001;1443
27/08/2001;1457
28/08/2001;1414
29/08/2001;1386
30/08/2001;1405
31/08/2001;1408
03/09/2001;1408
04/09/2001;1391
05/09/2001;1392
06/09/2001;1455
07/09/2001;1489
10/09/2001;1486
11/09/2001;1478
12/09/2001;1478
13/09/2001;1478
14/09/2001;1478
17/09/2001;1652
18/09/2001;1618
19/09/2001;1592
20/09/2001;1612
21/09/2001;1637
24/09/2001;1612
25/09/2001;1602
26/09/2001;1639
27/09/2001;1647
28/09/2001;1595
01/10/2001;1661
02/10/2001;1687
03/10/2001;1754
04/10/2001;1842
05/10/2001;1868
08/10/2001;1876
09/10/2001;1893
10/10/2001;1859
11/10/2001;1825
12/10/2001;1832
15/10/2001;1824
16/10/2001;1770
17/10/2001;1686
18/10/2001;1727
19/10/2001;1693
22/10/2001;1670
23/10/2001;1700
24/10/2001;1727
25/10/2001;1769
26/10/2001;1824
29/10/2001;2003
30/10/2001;2032
31/10/2001;2136
01/11/2001;2295
02/11/2001;2441
05/11/2001;2458
06/11/2001;2363
07/11/2001;2354
08/11/2001;2351
09/11/2001;2438
12/11/2001;2504
13/11/2001;2542
14/11/2001;2664
15/11/2001;2683
16/11/2001;2764
19/11/2001;2966
20/11/2001;3071
21/11/2001;3026
