Fecha;Compra;Venta
11/01/2002;1,65;1,7
14/01/2002;1,63;1,68
15/01/2002;1,9;1,95
16/01/2002;1,83;1,87
17/01/2002;1,92;1,97
18/01/2002;1,9;1,95
21/01/2002;1,75;1,8
22/01/2002;1,8;1,85
23/01/2002;1,74;1,77
24/01/2002;1,75;1,78
25/01/2002;1,75;1,78
28/01/2002;1,77;1,8
29/01/2002;1,77;1,8
30/01/2002;1,9;1,95
31/01/2002;2;2,05
01/02/2002;2;2,05
04/02/2002;2;2,05
05/02/2002;2;2,05
06/02/2002;2;2,05
07/02/2002;2;2,05
08/02/2002;2;2,05
11/02/2002;2;2,03
12/02/2002;1,95;1,98
13/02/2002;1,95;1,98
14/02/2002;1,96;1,99
15/02/2002;2,04;2,07
18/02/2002;2,05;2,08
19/02/2002;2,09;2,12
20/02/2002;2,17;2,2
21/02/2002;2,03;2,06
22/02/2002;2,08;2,11
24/02/2002;2,08;2,11
25/02/2002;2,13;2,16
26/02/2002;2,15;2,18
27/02/2002;2,19;2,22
28/02/2002;2,17;2,19
01/03/2002;2,17;2,2
04/03/2002;2,1;2,12
05/03/2002;2,1;2,12
06/03/2002;2,12;2,14
07/03/2002;2,2;2,22
08/03/2002;2,24;2,27
11/03/2002;2,3;2,32
12/03/2002;2,41;2,43
13/03/2002;2,4;2,42
14/03/2002;2,44;2,46
15/03/2002;2,43;2,45
18/03/2002;2,42;2,44
19/03/2002;2,44;2,46
20/03/2002;2,52;2,54
21/03/2002;2,53;2,55
22/03/2002;3;3,1
25/03/2002;3,4;3,6
26/03/2002;3,05;3,1
27/03/2002;3;3,05
02/04/2002;2,9;2,93
03/04/2002;2,94;2,97
04/04/2002;2,82;2,84
05/04/2002;2,78;2,82
08/04/2002;2,76;2,79
09/04/2002;2,78;2,8
10/04/2002;2,78;2,8
11/04/2002;2,82;2,84
12/04/2002;2,95;2,98
13/04/2002;2,95;2,98
15/04/2002;2,93;2,95
16/04/2002;2,8;2,82
17/04/2002;2,87;2,89
18/04/2002;3,12;3,15
19/04/2002;3,18;3,21
29/04/2002;2,93;2,95
30/04/2002;3,01;3,03
02/05/2002;3,12;3,15
03/05/2002;3,18;3,2
06/05/2002;3,19;3,21
07/05/2002;3,21;3,23
08/05/2002;3,23;3,25
09/05/2002;3,2;3,22
10/05/2002;3,29;3,31
13/05/2002;3,28;3,3
14/05/2002;3,27;3,3
15/05/2002;3,25;3,27
16/05/2002;3,26;3,28
17/05/2002;3,4;3,42
20/05/2002;3,54;3,57
21/05/2002;3,55;3,57
22/05/2002;3,5;3,52
23/05/2002;3,47;3,49
24/05/2002;3,55;3,57
27/05/2002;3,52;3,54
28/05/2002;3,52;3,54
29/05/2002;3,6;3,62
30/05/2002;3,63;3,65
31/05/2002;3,6;3,62
03/06/2002;3,63;3,65
04/06/2002;3,64;3,66
05/06/2002;3,65;3,67
06/06/2002;3,68;3,7
07/06/2002;3,69;3,71
10/06/2002;3,53;3,55
11/06/2002;3,52;3,54
12/06/2002;3,51;3,53
13/06/2002;3,53;3,55
14/06/2002;3,6;3,62
18/06/2002;3,56;3,58
19/06/2002;3,62;3,64
20/06/2002;3,65;3,67
21/06/2002;3,73;3,75
24/06/2002;3,81;3,83
25/06/2002;3,91;3,93
26/06/2002;3,89;3,91
27/06/2002;3,85;3,87
28/06/2002;3,9;3,92
01/07/2002;3,81;3,83
02/07/2002;3,68;3,7
03/07/2002;3,62;3,64
04/07/2002;3,58;3,6
05/07/2002;3,62;3,64
08/07/2002;3,57;3,59
10/07/2002;3,57;3,59
11/07/2002;3,6;3,62
12/07/2002;3,61;3,63
15/07/2002;3,61;3,63
16/07/2002;3,58;3,6
17/07/2002;3,56;3,58
18/07/2002;3,59;3,61
19/07/2002;3,6;3,62
22/07/2002;3,61;3,63
23/07/2002;3,66;3,68
24/07/2002;3,64;3,66
25/07/2002;3,64;3,66
26/07/2002;3,66;3,68
29/07/2002;3,65;3,67
30/07/2002;3,65;3,67
31/07/2002;3,71;3,73
01/08/2002;3,63;3,65
02/08/2002;3,63;3,65
05/08/2002;3,61;3,63
06/08/2002;3,61;3,63
07/08/2002;3,62;3,63
08/08/2002;3,61;3,63
09/08/2002;3,61;3,63
12/08/2002;3,61;3,62
13/08/2002;3,59;3,61
14/08/2002;3,61;3,63
15/08/2002;3,62;3,63
16/08/2002;3,63;3,64
20/08/2002;3,61;3,62
21/08/2002;3,59;3,6
22/08/2002;3,57;3,58
23/08/2002;3,61;3,62
26/08/2002;3,63;3,64
27/08/2002;3,62;3,63
28/08/2002;3,61;3,62
29/08/2002;3,62;3,63
30/08/2002;3,63;3,64
02/09/2002;3,61;3,62
03/09/2002;3,62;3,63
04/09/2002;3,65;3,66
05/09/2002;3,62;3,63
06/09/2002;3,62;3,63
09/09/2002;3,64;3,65
10/09/2002;3,63;3,64
11/09/2002;3,62;3,63
12/09/2002;3,65;3,66
13/09/2002;3,66;3,67
16/09/2002;3,65;3,66
17/09/2002;3,64;3,65
18/09/2002;3,64;3,65
19/09/2002;3,67;3,69
20/09/2002;3,67;3,68
23/09/2002;3,67;3,68
24/09/2002;3,68;3,69
25/09/2002;3,7;3,71
26/09/2002;3,7;3,71
27/09/2002;3,75;3,76
30/09/2002;3,74;3,75
01/10/2002;3,74;3,75
02/10/2002;3,76;3,77
03/10/2002;3,77;3,78
04/10/2002;3,75;3,76
07/10/2002;3,74;3,75
08/10/2002;3,74;3,75
09/10/2002;3,73;3,74
10/10/2002;3,71;3,72
11/10/2002;3,72;3,73
15/10/2002;3,68;3,69
16/10/2002;3,62;3,63
17/10/2002;3,6;3,61
18/10/2002;3,63;3,64
21/10/2002;3,63;3,64
22/10/2002;3,63;3,64
23/10/2002;3,62;3,63
24/10/2002;3,62;3,63
25/10/2002;3,62;3,63
26/10/2002;3,62;3,63
28/10/2002;3,6;3,61
29/10/2002;3,58;3,59
30/10/2002;3,54;3,55
31/10/2002;3,52;3,53
01/11/2002;3,54;3,55
04/11/2002;3,57;3,58
05/11/2002;3,56;3,57
07/11/2002;3,55;3,56
08/11/2002;3,56;3,57
11/11/2002;3,56;3,57
12/11/2002;3,55;3,56
13/11/2002;3,54;3,55
14/11/2002;3,58;3,59
15/11/2002;3,58;3,59
18/11/2002;3,55;3,56
19/11/2002;3,54;3,55
20/11/2002;3,54;3,55
21/11/2002;3,55;3,56
22/11/2002;3,55;3,56
25/11/2002;3,54;3,55
26/11/2002;3,53;3,54
27/11/2002;3,52;3,53
28/11/2002;3,59;3,6
29/11/2002;3,65;3,66
02/12/2002;3,61;3,62
03/12/2002;3,57;3,58
04/12/2002;3,56;3,57
05/12/2002;3,57;3,58
06/12/2002;3,58;3,59
09/12/2002;3,56;3,57
10/12/2002;3,54;3,55
11/12/2002;3,52;3,53
12/12/2002;3,52;3,53
13/12/2002;3,55;3,56
16/12/2002;3,55;3,56
17/12/2002;3,56;3,57
18/12/2002;3,53;3,54
19/12/2002;3,49;3,51
20/12/2002;3,5;3,51
23/12/2002;3,47;3,48
24/12/2002;3,47;3,48
26/12/2002;3,43;3,44
27/12/2002;3,41;3,42
30/12/2002;3,37;3,38
31/12/2002;3,36;3,37
02/01/2003;3,36;3,37
03/01/2003;3,34;3,35
06/01/2003;3,32;3,33
07/01/2003;3,27;3,28
08/01/2003;3,31;3,32
09/01/2003;3,34;3,35
10/01/2003;3,37;3,38
11/01/2003;3,37;3,38
13/01/2003;3,33;3,34
14/01/2003;3,28;3,29
15/01/2003;3,26;3,27
16/01/2003;3,27;3,28
17/01/2003;3,25;3,26
20/01/2003;3,18;3,19
21/01/2003;3,1;3,11
22/01/2003;3,14;3,15
23/01/2003;3,15;3,16
24/01/2003;3,24;3,25
27/01/2003;3,33;3,34
28/01/2003;3,33;3,34
29/01/2003;3,31;3,32
30/01/2003;3,27;3,28
31/01/2003;3,22;3,23
03/02/2003;3,2;3,21
04/02/2003;3,17;3,18
05/02/2003;3,17;3,18
06/02/2003;3,17;3,18
07/02/2003;3,17;3,18
10/02/2003;3,15;3,16
11/02/2003;3,11;3,12
12/02/2003;3,12;3,13
13/02/2003;3,15;3,17
14/02/2003;3,17;3,18
17/02/2003;3,14;3,15
18/02/2003;3,19;3,2
19/02/2003;3,21;3,22
20/02/2003;3,22;3,23
21/02/2003;3,19;3,2
22/02/2003;3,19;3,2
